"block";"choice_situation";"lang";"alternative";"ca_available";"ca_fix_cost";"ca_fuel";"ca_reach";"ca_type";"ca_variable_cost";"cs_available";"cs_distance";"cs_km_tariff";"cs_membership_fee";"cs_time_tariff";"eb_available";"eb_cost";"eb_type";"pt_available";"pt_class";"pt_commute";"pt_fix_cost";"pt_type";"pt_variable_cost";"pt_zones"
1;8;"EN";"b";0;NA;NA;NA;NA;NA;1;"More than 1 km";"0.8 CHF/km";"8 CHF/month";"2 CHF/h";1;"35 CHF/month";"Up to 25 km/h";1;"Second";"Included";"240 CHF/month";"Modular Travelcard (fare networks)";NA;"Whole fare network"
2;1;"DE";"a";1;"842 CHF/Monat";"Elektrisch";"184 km";"Minivan oder Kastenwagen";"1.04 CHF/km";1;"Mehr als 1 km";"1.2 CHF/km";"12 CHF/Monat";"2 CHF/h";0;NA;NA;1;"Erste";NA;"46 CHF/Monat";"Modul-Abo (Verbund)";NA;"1-2 Zonen"
2;1;"DE";"b";1;"914 CHF/Monat";"Diesel";NA;"SUV";"1.28 CHF/km";1;"1 km oder weniger";"0.8 CHF/km";"12 CHF/Monat";"2 CHF/h";0;NA;NA;1;"Zweite";NA;"46 CHF/Monat";"Modul-Abo (Verbund)";NA;"1-2 Zonen"
2;2;"DE";"a";1;"1020 CHF/Monat";"Benzin";NA;"Luxusauto oder Sportcoupé";"2.57 CHF/km";1;"Mehr als 1 km";"1.2 CHF/km";"12 CHF/Monat";"2 CHF/h";0;NA;NA;0;NA;NA;NA;NA;NA;NA
2;2;"DE";"b";1;"501 CHF/Monat";"Elektrisch";"512 km";"SUV";"0.61 CHF/km";1;"1 km oder weniger";"1.2 CHF/km";"12 CHF/Monat";"4 CHF/h";1;"56 CHF/Monat";"Bis zu 45 km/h";0;NA;NA;NA;NA;NA;NA
2;3;"DE";"a";1;"563 CHF/Monat";"Plug-in Hybrid";NA;"SUV";"1.31 CHF/km";1;"1 km oder weniger";"0.8 CHF/km";"8 CHF/Monat";"2 CHF/h";0;NA;NA;1;"Erste";"Inklusive";"240 CHF/Monat";"Modul-Abo (Verbund)";NA;"Ganzer Tarifverbund"
2;3;"DE";"b";1;"895 CHF/Monat";"Plug-in Hybrid";NA;"Minivan oder Kastenwagen";"1.11 CHF/km";1;"1 km oder weniger";"1.2 CHF/km";"8 CHF/Monat";"4 CHF/h";1;"35 CHF/Monat";"Bis zu 25 km/h";1;"Erste";NA;"210 CHF/Monat";"GA";NA;NA
2;4;"DE";"a";1;"930 CHF/Monat";"Elektrisch";"512 km";"SUV";"1.13 CHF/km";1;"1 km oder weniger";"1.2 CHF/km";"12 CHF/Monat";"2 CHF/h";0;NA;NA;1;"Zweite";NA;"210 CHF/Monat";"GA";NA;NA
2;4;"DE";"b";1;"563 CHF/Monat";"Plug-in Hybrid";NA;"SUV";"1.31 CHF/km";1;"1 km oder weniger";"1.2 CHF/km";"12 CHF/Monat";"4 CHF/h";0;NA;NA;0;NA;NA;NA;NA;NA;NA
2;5;"DE";"a";1;"842 CHF/Monat";"Elektrisch";"342 km";"Minivan oder Kastenwagen";"1.04 CHF/km";0;NA;NA;NA;NA;0;NA;NA;1;"Zweite";NA;"210 CHF/Monat";"GA";NA;NA
